,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kapaa,US,68.02,22.08,-159.32,78,90,21.92
1,Kruisfontein,ZA,68.38,-34,24.73,81,20,15.26
2,Bluff,AU,73.15,-23.58,149.07,93,88,5.41
3,Mar del Plata,AR,71.4,-46.43,-67.52,36,24,25.32
4,Mataura,NZ,68,-46.19,168.86,50,36,8.01
5,Taoudenni,ML,58.75,22.68,-3.98,20,0,1.05
6,Albany,US,19.45,42.65,-73.75,48,75,20.8
7,Ekibastuz,KZ,19.87,51.72,75.32,82,8,11.56
8,Saskylakh,RU,-0.52,71.97,114.09,75,64,13.13
9,Ilulissat,GL,14,69.22,-51.1,47,20,2.95
10,Cape Town,ZA,66.76,-33.93,18.42,68,40,6.93
11,San Cristobal,EC,65.66,-0.39,-78.55,43,75,9.17
12,Sinjar,SY,46.47,35.59,37,82,32,11.12
13,Rikitea,PF,81.3,-23.12,-134.97,96,68,19.17
14,Hithadhoo,MV,82.92,-0.6,73.08,100,80,6.2
15,Westport,IE,43.2,53.8,-9.52,86,40,18.34
16,Tuatapere,NZ,68,-46.13,167.69,50,92,8.01
17,Vao,EE,17.35,59.1,26.19,87,56,8.66
18,Arraial do Cabo,BR,85.75,-22.97,-42.02,78,40,26.4
19,Road Town,VG,80.56,18.42,-64.62,65,40,10.29
20,Shenjiamen,CN,47.55,29.96,122.3,99,20,22.64
21,Bolobo,CD,78.87,-2.17,16.23,87,24,2.51
22,Atuona,PF,81.97,-9.8,-139.03,100,48,17.27
23,Berlevag,NO,18.72,70.86,29.09,62,40,24.16
24,Airai,TL,69.69,-8.93,125.41,92,80,0.38
25,Mombetsu,JP,24.01,44.35,143.35,79,8,1.01
26,Gat,SN,69.8,14.69,-16.54,60,0,25.28
27,Kaitangata,NZ,72,-46.28,169.85,47,0,1.01
28,Bonfim,BR,77.92,-20.33,-44.24,69,40,4.7
29,Rabo de Peixe,PT,56.89,37.8,-25.58,93,75,23.04
30,Yellowknife,CA,10.2,62.45,-114.38,72,5,11.41
31,Kodiak,US,33.12,39.95,-94.76,93,1,8.05
32,Bethel,US,30.2,60.79,-161.76,92,90,12.75
33,Busselton,AU,65.3,-33.64,115.35,61,100,6.76
34,Benevides,BR,77,-1.36,-48.25,94,90,6.93
35,Tigil,RU,6.69,57.8,158.67,77,80,0.16
36,Uvarovka,RU,3.22,55.53,35.61,63,0,4.18
37,Saint-Philippe,CA,16.41,45.36,-73.48,36,90,4.7
38,Cherskiy,RU,-6.14,68.75,161.3,71,64,2.28
39,Faanui,PF,84.58,-16.48,-151.75,98,80,12.46
40,Puerto Ayora,EC,84.2,-0.74,-90.35,70,20,12.75
41,Ajdabiya,LY,49.21,30.75,20.22,65,0,6.53
42,Naze,NG,75.2,5.43,7.07,94,40,3.36
43,Tahe,CN,8.17,52.34,124.71,62,20,3.74
44,Agua Verde,MX,79.14,22.89,-105.97,32,75,5.82
45,Bredasdorp,ZA,67.28,-34.53,20.04,77,0,9.17
